Date,BTC,Gold,SP500,FTSE,oil
2016-12-12,780.0869750976562,1154.4,2256.9599609375,6890.39990234375,52.74
2016-12-13,780.5560302734375,1157.35,2271.719970703125,6968.60009765625,52.99
2016-12-14,781.4810180664062,1160.95,2253.280029296875,6949.2001953125,51.01
2016-12-15,778.0880126953125,1132.45,2262.030029296875,6999.0,50.9
2016-12-16,784.906982421875,1134.85,2258.070068359375,7011.60009765625,51.93
2016-12-17,790.8289794921875,1134.85,2258.070068359375,7011.60009765625,51.93
2016-12-18,790.530029296875,1134.85,2258.070068359375,7011.60009765625,51.93
2016-12-19,792.7139892578125,1137.6,2262.530029296875,7017.2001953125,52.13
2016-12-20,800.8759765625,1132.75,2270.760009765625,7044.0,52.22
2016-12-21,834.281005859375,1134.4,2265.179931640625,7041.39990234375,51.44
2016-12-22,864.5399780273438,1130.55,2260.9599609375,7063.7001953125,51.98
2016-12-23,921.9840087890625,1131.0,2263.7900390625,7068.2001953125,52.01
2016-12-24,898.822021484375,1131.0,2263.7900390625,7068.2001953125,52.01
2016-12-25,896.1829833984375,1131.0,2263.7900390625,7068.2001953125,52.01
2016-12-26,907.6099853515625,1131.0,2263.7900390625,7068.2001953125,52.01
2016-12-27,933.197998046875,1131.0,2268.8798828125,7068.2001953125,52.82
2016-12-28,975.9210205078125,1139.75,2249.919921875,7106.10009765625,54.01
2016-12-29,973.4970092773438,1146.8,2249.260009765625,7120.2998046875,53.8
2016-12-30,961.2379760742188,1159.1,2238.830078125,7142.7998046875,53.75
2016-12-31,963.7429809570312,1159.1,2238.830078125,7142.7998046875,53.75
2017-01-01,998.3250122070312,1159.1,2238.830078125,7142.7998046875,53.75
2017-01-02,1021.75,1159.1,2238.830078125,7142.7998046875,53.75
2017-01-03,1043.8399658203125,1148.65,2257.830078125,7177.89990234375,52.36
2017-01-04,1154.72998046875,1165.9,2270.75,7189.7001953125,53.26
2017-01-05,1013.3800048828125,1173.05,2269.0,7195.2998046875,53.77
2017-01-06,902.2009887695312,1178.0,2276.97998046875,7210.10009765625,53.98
2017-01-07,908.5850219726562,1178.0,2276.97998046875,7210.10009765625,53.98
2017-01-08,911.198974609375,1178.0,2276.97998046875,7210.10009765625,53.98
2017-01-09,902.8280029296875,1176.1,2268.89990234375,7237.7998046875,51.95
2017-01-10,907.6790161132812,1183.2,2268.89990234375,7275.5,50.82
2017-01-11,777.7570190429688,1187.55,2275.320068359375,7290.5,52.19
2017-01-12,804.833984375,1206.65,2270.43994140625,7292.39990234375,53.01
2017-01-13,823.9840087890625,1196.35,2274.639892578125,7337.7998046875,52.36
2017-01-14,818.4119873046875,1196.35,2274.639892578125,7337.7998046875,52.36
2017-01-15,821.7979736328125,1196.35,2274.639892578125,7337.7998046875,52.36
2017-01-16,831.5339965820312,1202.75,2274.639892578125,7327.10009765625,52.36
2017-01-17,907.93798828125,1217.5,2267.889892578125,7220.39990234375,52.45
2017-01-18,886.6179809570312,1212.5,2271.889892578125,7247.60009765625,51.12
2017-01-19,899.072998046875,1203.35,2263.68994140625,7208.39990234375,51.39
2017-01-20,895.0260009765625,1199.1,2271.31005859375,7198.39990234375,52.33
2017-01-21,921.7890014648438,1199.1,2271.31005859375,7198.39990234375,52.33
2017-01-22,924.6729736328125,1199.1,2271.31005859375,7198.39990234375,52.33
2017-01-23,921.0120239257812,1213.75,2265.199951171875,7151.2001953125,52.77
2017-01-24,892.68701171875,1213.3,2280.070068359375,7150.2998046875,52.38
2017-01-25,901.5419921875,1203.5,2298.3701171875,7164.39990234375,52.14
2017-01-26,917.5859985351562,1191.55,2296.679931640625,7161.5,53.24
2017-01-27,919.75,1184.2,2294.68994140625,7184.5,53.18
2017-01-28,921.5900268554688,1184.2,2294.68994140625,7184.5,53.18
2017-01-29,919.4959716796875,1184.2,2294.68994140625,7184.5,53.18
